state,symbol,nextState,isToken
wh,i,whi,n
w,h,wh,n
var!!!,!!!,,n
var,',var!!!,y
va,r,var,n
v,a,va,n
true!!!!,!!!,,n
TRUE,',true!!!!,y
tru,e,TRUE,n
tr,u,tru,n
t,r,tr,n
string!!!,!!!,,n
string,',string!!!,y
strin,g,string,n
stri,n,strin,n
str,i,stri,n
st,r,str,n
s,t,st,n
return!!!,!!!,,n
return,,return!!!,y
retur,n,return,n
retu,r,retur,n
ret,u,retu,n
re,t,ret,n
r,e,re,n
print!!!,!!!,,n
printf!!!,,,n
printf,',printf!!!,y
print,',print!!!,y
print,f,printf,n
prin,t,print,n
pri,n,prin,n
pr,i,pri,n
p,r,pr,n
new!!!,!!!,,n
new,',new!!!,y
ne,w,new,n
n,e,ne,n
long!!!,!!!,,n
long,',long!!!,y
lon,g,long,n
lo,n,lon,n
l,o,lo,n
int!!!,,,n
int,',int!!!,y
in!!!,!!!,,n
in,',in!!!,y
in,t,int,n
ifrange!!!,,,n
ifrange!!!,!!!,,n
ifrange,'\(,ifrange!!!,y
ifrang,e,ifrange,n
ifran,g,ifrang,n
ifra,n,ifran,n
ifr,a,ifra,n
if!!!,!!!,,n
if,'\(,if!!!,y
if,r,ifr,n
i,f,if,n
i,f,if,n
i,n,in,n
for!!!,!!!,,n
for,\(,for!!!,y
fo,r,for,n
flout!!!,!!!,,n
flout,',flout!!!,y
flou,',flout,n
flo,u,flou,n
fl,o,flo,n
false!!!,!!!,,n
FALSE,',false!!!,y
fals,e,FALSE,n
fal,s,fals,n
fa,l,fal,n
f,l,fl,n
f,o,fo,n
f,a,fa,n
else!!!,!!!,,n
else,',else!!!,y
els,e,else,n
elif!!!,!!!,,n
elif,',elif!!!,y
eli,f,elif,n
el,i,eli,n
el,s,els,n
e,l,el,n
do!!!,!,,n
do,',do!!!,y
d,o,do,n
char!!!,!!!,,n
char,',char!!!,y
cha,r,char,n
ch,a,cha,n
c,h,ch,n
bool!!!,!!!,,n
bool,',bool!!!,y
boo,l,bool,n
bo,o,boo,n
b,o,bo,n
start,a,a,n
start,b,b,n
start,c,c,n
start,d,d,n
start,e,e,n
start,f,f,n
start,i,i,n
start,l,l,n
start,n,n,n
start,p,p,n
start,s,s,n
start,t,t,n
start,v,v,n
start,w,w,n
start,r,r,n
